id,payee_id,deal_id,period,amount,product,close_date,metadata
TXN-00154,P023,DEAL-7821,2026-04,30992.19,Pro,2026-04-08,{}
TXN-00155,P032,DEAL-1944,2026-05,291946.55,Enterprise,2026-05-07,{}
TXN-00156,P031,DEAL-7079,2026-01,60720.93,Pro,2026-01-20,"{""contract_length"": 12, ""renewal"": true}"
TXN-00157,P041,DEAL-4555,2026-04,70863.17,Pro,2026-02-24,"{""contract_length"": 24, ""renewal"": true}"
TXN-00158,P055,DEAL-4350,2026-04,48645.55,Pro,2026-04-12,{}
TXN-00159,P035,DEAL-8635,2026-01,9831.87,,2026-01-12,{}
TXN-00160,P017,DEAL-3390,2026-01,9193.05,Starter,2026-01-07,{}
TXN-00161,P018,DEAL-9180,2026-05,4745.59,Add-On,2026-05-24,{}
TXN-00162,P013,DEAL-6770,2026-02,60421.95,Pro,2026-02-21,{}
TXN-00163,P005,DEAL-1794,2026-01,84372.88,Enterprise,,{}
TXN-00164,P032,DEAL-2940,2026-01,54641.0,Pro,2026-01-01,"{""contract_length"": 36, ""renewal"": false}"
TXN-00165,P020,DEAL-9777,2026-03,175554.01,Enterprise,2026-03-06,"{""contract_length"": 12, ""renewal"": true}"
TXN-00166,P044,DEAL-9625,2026-03,4189.97,,,{}
TXN-00167,P018,DEAL-4700,2026-03,4226.28,Add-On,2026-03-02,"{""contract_length"": 24, ""renewal"": false}"
TXN-00168,P004,DEAL-1154,2026-06,15788.03,Pro,2026-06-28,{}
TXN-00169,P003,DEAL-4764,2026-02,7230.59,,2026-02-22,{}
TXN-00170,P040,DEAL-1539,2026-02,3830.36,,2026-02-23,{}
TXN-00171,P022,DEAL-3661,2026-05,49668.71,Pro,2026-05-13,{}
TXN-00172,P054,DEAL-2284,2026-05,4884.45,Add-On,2026-05-11,{}
TXN-00173,P043,DEAL-7499,2026-03,208530.74,Enterprise,2026-03-18,{}
TXN-00174,P053,DEAL-7227,2026-01,6567.54,,2026-02-13,{}
TXN-00175,P027,DEAL-6188,2026-03,72880.11,Enterprise,2026-03-04,"{""contract_length"": 12, ""renewal"": false}"
TXN-00176,P039,DEAL-3852,2026-04,56565.48,Enterprise,2026-04-11,{}
TXN-00177,P027,DEAL-2387,2026-06,73364.53,Pro,2026-06-13,{}
TXN-00178,P020,DEAL-9079,2026-02,91801.85,Enterprise,2026-02-12,{}
TXN-00179,P045,DEAL-9123,2026-05,23688.38,Pro,2026-05-11,{}
TXN-00180,P024,DEAL-8212,2026-03,253868.87,Enterprise,2026-03-11,{}
TXN-00181,P034,DEAL-6147,2026-02,292181.31,Enterprise,2026-02-19,{}
TXN-00182,P020,DEAL-7437,2026-03,283016.79,Enterprise,2026-03-25,{}
TXN-00183,P032,DEAL-4434,2026-04,3621.98,,2026-04-14,{}
TXN-00184,P022,DEAL-4965,2026-03,1193.64,Add-On,2026-03-20,{}
TXN-00185,P036,DEAL-7853,2026-05,247680.23,Enterprise,2026-05-21,{}
TXN-00186,P018,DEAL-6816,2026-02,3257.05,Add-On,2026-02-25,{}
TXN-00187,P007,DEAL-1172,2026-01,4886.01,Starter,2026-01-08,{}
TXN-00188,P053,DEAL-9199,2026-02,14970.14,Starter,2026-02-03,"{""contract_length"": 36, ""renewal"": true}"
TXN-00189,P024,DEAL-6493,2026-02,43804.82,Pro,2026-02-11,"{""contract_length"": 12, ""renewal"": true}"
TXN-00190,P048,DEAL-2791,2026-06,2479.19,,2026-06-06,{}
TXN-00191,P032,DEAL-4798,2026-04,1330.03,Add-On,2026-05-07,{}
TXN-00192,P001,DEAL-4519,2026-02,11780.23,Starter,,"{""contract_length"": 36, ""renewal"": true}"
TXN-00193,P015,DEAL-8496,2026-01,10719.12,Starter,2026-01-13,{}
TXN-00194,P025,DEAL-6766,2026-04,22076.93,Pro,2026-04-19,"{""contract_length"": 12, ""renewal"": false}"
TXN-00195,P022,DEAL-2916,2026-02,11014.68,Starter,2026-02-13,{}
TXN-00196,P038,DEAL-3838,2026-05,44274.94,Pro,2026-05-02,{}
TXN-00197,P035,DEAL-3236,2026-02,4455.5,,2026-02-16,{}
TXN-00198,P035,DEAL-3740,2026-01,12160.25,Pro,2026-01-18,{}
TXN-00199,P040,DEAL-9115,2026-05,17924.77,Pro,2026-05-12,{}
TXN-00200,P031,DEAL-9951,2026-02,75604.11,Enterprise,2026-02-02,{}
TXN-00201,P006,DEAL-8193,2026-01,8307.0,,2026-01-28,{}
TXN-00202,P013,DEAL-3281,2026-02,2862.48,,2026-02-18,{}
TXN-00203,P021,DEAL-5740,2026-05,14381.17,Starter,2026-05-05,{}
TXN-00204,P004,DEAL-5543,2026-06,59099.86,Pro,2026-06-08,{}
TXN-00205,P035,DEAL-3329,2026-05,1709.23,Add-On,2026-05-25,"{""contract_length"": 36, ""renewal"": false}"
TXN-00206,P026,DEAL-8449,2026-04,9565.42,Starter,2026-04-21,{}
TXN-00207,P005,DEAL-9756,2026-04,77769.0,Pro,2026-04-10,{}
TXN-00208,P040,DEAL-8951,2026-03,-12710.5,Add-On,2026-02-15,{}
TXN-00209,P030,DEAL-4314,2026-06,71750.34,Pro,2026-06-03,{}
TXN-00210,P026,DEAL-2795,2026-01,206401.07,Enterprise,2026-01-03,{}
TXN-00211,P005,DEAL-3174,2026-05,46361.1,Pro,,{}
TXN-00212,P030,DEAL-3165,2026-04,107236.72,Enterprise,2026-04-12,{}
TXN-00213,P011,DEAL-3340,2026-01,49430.39,Pro,2026-01-07,{}
TXN-00214,P029,DEAL-8248,2026-02,274148.24,Enterprise,2026-02-12,{}
TXN-00215,P011,DEAL-4764,2026-03,879.12,Add-On,2026-03-25,{}
TXN-00216,P022,DEAL-4366,2026-05,45666.58,Pro,2026-02-16,{}
TXN-00217,P045,DEAL-2163,2026-05,296720.63,Enterprise,2026-05-19,{}
TXN-00218,P014,DEAL-8717,2026-01,-4706.99,Enterprise,2026-01-13,{}
TXN-00219,P036,DEAL-7806,2026-04,2310.25,Add-On,2026-04-03,{}
TXN-00220,P016,DEAL-3545,2026-05,7079.51,Starter,2026-05-03,{}
TXN-00221,P018,DEAL-1948,2026-02,281156.94,Enterprise,2026-06-24,{}
TXN-00222,P001,DEAL-3248,2026-06,90958.16,Enterprise,2026-06-24,{}
TXN-00223,P020,DEAL-2934,2026-01,12492.4,Starter,,{}
TXN-00224,P005,DEAL-9128,2026-04,35208.67,Pro,2026-04-09,{}
TXN-00225,P053,DEAL-2889,2026-02,-17327.11,Add-On,2026-02-13,{}
TXN-00226,P003,DEAL-7870,2026-02,5227.42,Starter,2026-02-19,{}
TXN-00227,P004,DEAL-3938,2026-02,-8318.03,,2026-02-25,{}
TXN-00228,P039,DEAL-8483,2026-01,4608.72,Starter,2026-01-15,{}
TXN-00229,P015,DEAL-9452,2026-02,10446.45,Pro,2026-02-27,{}
TXN-00230,P001,DEAL-7164,2026-06,1883.8,Add-On,2026-06-02,{}
TXN-00231,P020,DEAL-2524,2026-01,72810.12,Pro,2026-01-24,"{""contract_length"": 12, ""renewal"": true}"
TXN-00232,P028,DEAL-2226,2026-05,14359.8,Pro,2026-05-28,{}
TXN-00233,P054,DEAL-6345,2026-03,117988.97,Enterprise,2026-03-19,"{""contract_length"": 12, ""renewal"": true}"
TXN-00234,P023,DEAL-7660,2026-01,35080.12,Pro,2026-01-28,"{""contract_length"": 12, ""renewal"": false}"
TXN-00235,P054,DEAL-1660,2026-02,8709.16,,2026-02-13,{}
TXN-00236,P019,DEAL-3848,2026-01,263650.33,Enterprise,2026-01-26,{}
TXN-00237,P004,DEAL-4641,2026-02,67657.14,Pro,2026-02-19,{}
TXN-00238,P005,DEAL-1357,2026-01,73174.73,Pro,2026-01-27,{}
TXN-00239,P032,DEAL-1829,2026-02,40320.95,Pro,2026-02-14,{}
TXN-00240,P014,DEAL-5505,2026-03,-12573.94,Enterprise,2026-03-14,{}
TXN-00241,P006,DEAL-5369,2026-04,39346.44,Pro,2026-04-26,{}
TXN-00242,P055,DEAL-6883,2026-04,64700.46,Pro,2026-04-09,{}
TXN-00243,P017,DEAL-1480,2026-03,252163.47,Enterprise,2026-03-08,{}
TXN-00244,P052,DEAL-4951,2026-03,67139.96,Pro,,{}
TXN-00245,P027,DEAL-6813,2026-02,26558.58,Pro,2026-02-19,"{""contract_length"": 36, ""renewal"": false}"
TXN-00246,P040,DEAL-3328,2026-05,68568.78,Pro,2026-05-06,{}
TXN-00247,P017,DEAL-4584,2026-01,43459.23,Pro,2026-01-11,{}
TXN-00248,P023,DEAL-1975,2026-01,51062.64,Pro,2026-01-28,{}
TXN-00249,P055,DEAL-7481,2026-05,134140.27,Enterprise,2026-05-14,{}
TXN-00250,P048,DEAL-6198,2026-02,4859.34,Add-On,2026-02-08,{}
TXN-00251,P027,DEAL-6026,2026-06,1825.33,Add-On,,{}
TXN-00252,P040,DEAL-1530,2026-02,32275.18,Pro,2026-02-04,{}
TXN-00253,P005,DEAL-4899,2026-03,4182.54,Starter,2026-03-21,{}
TXN-00254,P001,DEAL-5345,2026-02,58522.33,Pro,2026-02-02,{}
TXN-00255,P013,DEAL-7783,2026-04,137807.79,Enterprise,2026-04-19,{}
TXN-00256,P013,DEAL-8393,2026-01,8611.86,,2026-01-03,{}
TXN-00257,P013,DEAL-2228,2026-05,134487.65,Enterprise,2026-05-14,{}
TXN-00258,P030,DEAL-3573,2026-01,132773.64,Enterprise,2026-01-24,{}
TXN-00259,P022,DEAL-4891,2026-01,148225.55,Enterprise,2026-01-14,"{""contract_length"": 36, ""renewal"": false}"
TXN-00260,P002,DEAL-4390,2026-02,1813.15,Add-On,2026-02-13,{}
TXN-00261,P019,DEAL-2493,2026-06,37126.9,Pro,2026-06-02,{}
TXN-00262,P017,DEAL-5400,2026-05,87782.67,Enterprise,2026-05-26,{}
TXN-00263,P041,DEAL-4727,2026-05,260199.29,Enterprise,2026-05-28,{}
TXN-00264,P018,DEAL-8803,2026-03,148701.09,Enterprise,,{}
TXN-00265,P040,DEAL-3415,2026-01,5041.36,,2026-01-07,"{""contract_length"": 24, ""renewal"": true}"
TXN-00266,P030,DEAL-4308,2026-06,68387.57,Pro,2026-06-03,"{""contract_length"": 36, ""renewal"": false}"
TXN-00267,P020,DEAL-9514,2026-04,1111.27,,2026-04-04,{}
TXN-00268,P041,DEAL-2641,2026-01,64568.13,Pro,2026-01-14,{}
TXN-00269,P040,DEAL-8750,2026-01,29278.99,Pro,2026-01-02,{}
TXN-00270,P054,DEAL-4892,2026-01,2638.48,Add-On,2026-01-26,{}
TXN-00271,P035,DEAL-2609,2026-02,31033.63,Pro,2026-02-24,{}
TXN-00272,P015,DEAL-8237,2026-02,4664.53,,2026-02-02,{}
TXN-00273,P022,DEAL-9303,2026-04,64636.15,Pro,2026-04-27,{}
TXN-00274,P003,DEAL-8478,2026-01,11160.24,Starter,2026-01-21,{}
TXN-00275,P018,DEAL-7102,2026-04,41227.24,Pro,2026-04-12,{}
TXN-00276,P054,DEAL-2480,2026-03,146641.42,Enterprise,2026-03-28,{}
TXN-00277,P016,DEAL-5408,2026-06,178320.31,Enterprise,2026-06-16,{}
TXN-00278,P043,DEAL-1138,2026-02,9908.47,Starter,2026-02-09,{}
TXN-00279,P025,DEAL-8520,2026-03,42668.86,Pro,2026-03-04,"{""contract_length"": 36, ""renewal"": false}"
TXN-00280,P043,DEAL-5631,2026-03,986.47,Add-On,2026-03-28,{}
TXN-00281,P048,DEAL-5895,2026-02,46210.55,Pro,,{}
TXN-00282,P028,DEAL-6236,2026-06,60489.82,Pro,2026-06-14,{}
TXN-00283,P041,DEAL-4111,2026-03,3710.16,Add-On,2026-03-22,{}
TXN-00284,P013,DEAL-3967,2026-03,167695.22,Enterprise,2026-03-06,{}
TXN-00285,P048,DEAL-2463,2026-02,4903.26,Starter,2026-02-12,{}
TXN-00286,P008,DEAL-8709,2026-01,6709.57,,2026-01-07,{}
TXN-00287,P027,DEAL-9680,2026-03,63515.49,Enterprise,2026-03-14,{}
TXN-00288,P032,DEAL-3346,2026-03,7441.02,,2026-03-06,{}
TXN-00289,P031,DEAL-5481,2026-02,7961.88,,2026-02-25,"{""contract_length"": 36, ""renewal"": false}"
TXN-00290,P028,DEAL-8029,2026-04,51167.28,Enterprise,2026-04-11,{}
TXN-00291,P002,DEAL-1067,2026-06,1619.7,Add-On,2026-06-13,{}
TXN-00292,P005,DEAL-1749,2026-03,7927.04,Starter,2026-03-22,{}
TXN-00293,P035,DEAL-6885,2026-02,76365.9,Pro,2026-02-24,{}
TXN-00294,P002,DEAL-9267,2026-02,141647.86,Enterprise,,{}
TXN-00295,P038,DEAL-1796,2026-05,215492.48,Enterprise,,{}
TXN-00296,P027,DEAL-3024,2026-05,8167.15,Starter,2026-05-10,{}
TXN-00297,P037,DEAL-5423,2026-05,59050.84,Pro,2026-05-20,"{""contract_length"": 12, ""renewal"": true}"
TXN-00298,P043,DEAL-4272,2026-03,5708.31,,2026-03-02,{}
TXN-00299,P054,DEAL-8875,2026-03,10191.66,Pro,2026-03-22,{}
TXN-00300,P036,DEAL-2229,2026-06,955.81,Add-On,2026-06-10,{}
TXN-00301,P014,DEAL-1646,2026-03,12420.75,Starter,2026-01-01,{}
TXN-00302,P013,DEAL-6384,2026-03,288772.29,Enterprise,2026-03-11,{}
TXN-00303,P032,DEAL-5453,2026-04,4328.02,Add-On,2026-04-04,"{""contract_length"": 36, ""renewal"": true}"
TXN-00304,P013,DEAL-6802,2026-04,43787.24,Pro,2026-04-25,{}
TXN-00305,P034,DEAL-8997,2026-01,160171.97,Enterprise,2026-06-17,{}
TXN-00306,P040,DEAL-4669,2026-06,4044.71,,2026-06-24,{}
TXN-00307,P053,DEAL-7305,2026-02,8437.94,,2026-02-17,{}
TXN-00308,P013,DEAL-2226,2026-04,5131.59,Starter,,{}
TXN-00309,P028,DEAL-4850,2026-01,161047.22,Enterprise,2026-01-11,"{""contract_length"": 24, ""renewal"": true}"
TXN-00310,P029,DEAL-1587,2026-05,10011.88,Pro,2026-05-10,{}
TXN-00311,P048,DEAL-8474,2026-03,12729.04,Starter,2026-03-25,{}
