id,payee_id,deal_id,period,amount,product,close_date,credits
D-0073,alice,OPP-0073,2026-06,56173,Enterprise,2026-06-09,alice:1:split|grace:0.15:overlay
D-0030,alice,OPP-0030,2026-04,3709,Renewal,2026-04-19,
D-0059,charlie,OPP-0059,2026-05,5680,Starter,2026-05-16,
D-0094,bob,OPP-0094,2026-06,4533,Add-on,2026-06-01,
D-0013,alice,OPP-0013,2026-04,15328,New Logo,2026-04-18,
D-0102,bob,OPP-0102,2026-05,18000,Pro,2026-05-16,bob:0.8:split|charlie:0.2:split
D-0061,bob,OPP-0061,2026-05,58354,New Logo,2026-05-07,
D-0097,alice,OPP-0097,2026-04,85000,Enterprise,2026-04-09,alice:0.7:split|charlie:0.3:split
D-0049,alice,OPP-0049,2026-05,4093,Add-on,2026-05-18,
D-0083,isabel,OPP-0083,2026-06,2216,Renewal,2026-06-19,
D-0077,bob,OPP-0077,2026-06,80914,Enterprise,2026-06-24,
D-0035,charlie,OPP-0035,2026-04,7251,Renewal,2026-04-01,
D-0084,dave,OPP-0084,2026-06,871,Renewal,2026-06-14,
D-0095,dave,OPP-0095,2026-06,2652,Renewal,2026-06-22,
D-0043,eve,OPP-0043,2026-05,6578,Renewal,2026-05-17,
D-0076,dave,OPP-0076,2026-06,25289,New Logo,2026-06-07,
D-0004,bob,OPP-0004,2026-04,17280,Enterprise,2026-04-07,
D-0080,charlie,OPP-0080,2026-06,71562,Enterprise,2026-06-03,
D-0023,dave,OPP-0023,2026-04,23933,Pro,2026-04-11,
D-0021,dave,OPP-0021,2026-04,6173,Renewal,2026-04-08,
D-0031,bob,OPP-0031,2026-04,6032,Pro,2026-04-17,
D-0099,dave,OPP-0099,2026-06,42000,New Logo,2026-06-23,dave:0.6:split|grace:0.4:split
D-0053,bob,OPP-0053,2026-05,5523,Add-on,2026-05-12,
D-0104,eve,OPP-0104,2026-04,55000,Enterprise,2026-04-21,eve:0.5:split|grace:0.5:split
D-0086,isabel,OPP-0086,2026-06,23445,Pro,2026-06-23,
D-0014,bob,OPP-0014,2026-04,5266,Add-on,2026-04-28,
D-0032,bob,OPP-0032,2026-04,19371,Enterprise,2026-04-05,
D-0027,bob,OPP-0027,2026-04,4289,Add-on,2026-04-13,
D-0046,eve,OPP-0046,2026-05,3398,Pro,2026-05-08,
D-0090,dave,OPP-0090,2026-06,1019,Renewal,2026-06-03,
D-0047,hector,OPP-0047,2026-05,16226,Enterprise,2026-05-24,
D-0040,eve,OPP-0040,2026-05,7676,Renewal,2026-05-04,
D-0006,alice,OPP-0006,2026-04,5945,Add-on,2026-04-18,
D-0017,hector,OPP-0017,2026-04,54823,Enterprise,2026-04-09,
D-0056,dave,OPP-0056,2026-05,20782,Pro,2026-05-08,
D-0019,bob,OPP-0019,2026-04,2387,Add-on,2026-04-23,
D-0071,isabel,OPP-0071,2026-06,6949,Pro,2026-06-14,
D-0075,dave,OPP-0075,2026-06,6617,Add-on,2026-06-18,
D-0048,bob,OPP-0048,2026-05,74822,Enterprise,2026-05-25,bob:1:split|grace:0.15:overlay
D-0005,alice,OPP-0005,2026-04,417,Renewal,2026-04-18,
D-0070,dave,OPP-0070,2026-05,7048,Renewal,2026-05-01,
D-0020,isabel,OPP-0020,2026-04,784,Add-on,2026-04-20,
D-0089,isabel,OPP-0089,2026-06,6220,Enterprise,2026-06-15,isabel:1:split|grace:0.15:overlay
D-0010,jordan,OPP-0010,2026-04,1037,Starter,2026-04-03,
D-0015,bob,OPP-0015,2026-04,24587,Pro,2026-04-03,
D-0002,alice,OPP-0002,2026-04,1039,Add-on,2026-04-22,
D-0072,bob,OPP-0072,2026-06,14641,Pro,2026-06-02,
D-0055,alice,OPP-0055,2026-05,49313,Enterprise,2026-05-01,alice:1:split|grace:0.15:overlay
D-0091,charlie,OPP-0091,2026-06,2372,Renewal,2026-06-05,
