transaction_id,payee_id,period,rule_id,base_amount,rate,commission_amount,notes
D-0093,bob,2026-06,new_logo_accel,61200.00,0.120,7344.00,Accelerator 1.5x on 61200.0 above 1.0
*,bob,2026-04,payout_cap,-10740.59,1,-10740.59,plan_cap_adjustment: 35740.5900 capped to 25000
*,bob,2026-06,payout_cap,-9421.78,1,-9421.78,plan_cap_adjustment: 34421.78000000000000000000000 capped to 25000
*,bob,2026-05,payout_cap,-32467.31,1,-32467.31,plan_cap_adjustment: 57467.31000 capped to 25000
D-0004,bob,2026-04,tiered_core,17280.00,0.15,2592.00,Tier 100.0: 17280 @ 0.15
D-0007,bob,2026-04,tiered_core,82236.00,0.15,12335.40,Tier 100.0: 82236 @ 0.15
D-0009,bob,2026-04,tiered_core,1473.00,0.15,220.95,Tier 100.0: 1473 @ 0.15
D-0011,bob,2026-04,tiered_core,7142.00,0.15,1071.30,Tier 100.0: 7142 @ 0.15
D-0014,bob,2026-04,tiered_core,5266.00,0.15,789.90,Tier 100.0: 5266 @ 0.15
D-0015,bob,2026-04,tiered_core,7500.00,0.05,375.00,Tier 0.5: 7500.0 @ 0.05
D-0015,bob,2026-04,tiered_core,7500.00,0.08,600.00,Tier 1.0: 7500.0 @ 0.08
D-0015,bob,2026-04,tiered_core,7500.00,0.12,900.00,Tier 1.5: 7500.0 @ 0.12
D-0015,bob,2026-04,tiered_core,2087.00,0.15,313.05,Tier 100.0: 2087.0 @ 0.15
D-0018,bob,2026-04,tiered_core,1532.00,0.15,229.80,Tier 100.0: 1532 @ 0.15
D-0019,bob,2026-04,tiered_core,2387.00,0.15,358.05,Tier 100.0: 2387 @ 0.15
D-0027,bob,2026-04,tiered_core,4289.00,0.15,643.35,Tier 100.0: 4289 @ 0.15
D-0031,bob,2026-04,tiered_core,6032.00,0.15,904.80,Tier 100.0: 6032 @ 0.15
D-0032,bob,2026-04,tiered_core,19371.00,0.15,2905.65,Tier 100.0: 19371 @ 0.15
D-0038,bob,2026-05,tiered_core,7500.00,0.05,375.00,Tier 0.5: 7500.0 @ 0.05
D-0038,bob,2026-05,tiered_core,7500.00,0.08,600.00,Tier 1.0: 7500.0 @ 0.08
D-0038,bob,2026-05,tiered_core,1367.00,0.12,164.04,Tier 1.5: 1367.0 @ 0.12
D-0048,bob,2026-05,tiered_core,74822.00,0.15,11223.30,Tier 100.0: 74822 @ 0.15
D-0051,bob,2026-05,tiered_core,19171.00,0.15,2875.65,Tier 100.0: 19171 @ 0.15
D-0053,bob,2026-05,tiered_core,5523.00,0.15,828.45,Tier 100.0: 5523 @ 0.15
D-0054,bob,2026-05,tiered_core,3898.00,0.12,467.76,Tier 1.5: 3898 @ 0.12
D-0061,bob,2026-05,tiered_core,2235.00,0.12,268.20,Tier 1.5: 2235.000 @ 0.12
D-0061,bob,2026-05,tiered_core,56119.00,0.15,8417.85,Tier 100.0: 56119.000 @ 0.15
D-0063,bob,2026-05,tiered_core,12100.00,0.15,1815.00,Tier 100.0: 12100 @ 0.15
D-0065,bob,2026-05,tiered_core,6758.00,0.15,1013.70,Tier 100.0: 6758 @ 0.15
D-0067,bob,2026-05,tiered_core,29050.00,0.15,4357.50,Tier 100.0: 29050 @ 0.15
D-0068,bob,2026-05,tiered_core,63082.00,0.15,9462.30,Tier 100.0: 63082 @ 0.15
D-0072,bob,2026-06,tiered_core,2967.00,0.05,148.35,Tier 0.5: 2967.0000 @ 0.05
D-0072,bob,2026-06,tiered_core,7500.00,0.08,600.00,Tier 1.0: 7500.0000 @ 0.08
D-0072,bob,2026-06,tiered_core,4174.00,0.12,500.88,Tier 1.5: 4174.0000 @ 0.12
D-0077,bob,2026-06,tiered_core,80914.00,0.15,12137.10,Tier 100.0: 80914 @ 0.15
D-0087,bob,2026-06,tiered_core,3326.00,0.12,399.12,Tier 1.5: 3325.999999999999999999999995 @ 0.12
D-0087,bob,2026-06,tiered_core,116.00,0.15,17.40,Tier 100.0: 116.000000000000000000000005 @ 0.15
D-0093,bob,2026-06,tiered_core,76200.00,0.15,11430.00,Tier 100.0: 76200 @ 0.15
D-0094,bob,2026-06,tiered_core,4533.00,0.05,226.65,Tier 0.5: 4533 @ 0.05
D-0101,bob,2026-04,tiered_core,18000.00,0.15,2700.00,Tier 100.0: 18000 @ 0.15
D-0102,bob,2026-05,tiered_core,18000.00,0.15,2700.00,Tier 100.0: 18000 @ 0.15
*,charlie,2026-04,draw,2404.88,1,2404.88,"draw_topup: guarantee 3000, earned 595.120"
*,charlie,2026-05,draw,1671.80,1,1671.80,"draw_topup: guarantee 3000, earned 1328.200000"
D-0080,charlie,2026-06,enterprise_spif,71562.00,0.02,1431.24,Flat rate 0.02 on 71562
D-0035,charlie,2026-04,tiered_core,2500.00,0.05,125.00,Tier 0.5: 2500.0 @ 0.05
D-0035,charlie,2026-04,tiered_core,2500.00,0.08,200.00,Tier 1.0: 2500.0 @ 0.08
D-0035,charlie,2026-04,tiered_core,2251.00,0.12,270.12,Tier 1.5: 2251.0 @ 0.12
D-0042,charlie,2026-05,tiered_core,2500.00,0.05,125.00,Tier 0.5: 2500.0 @ 0.05
D-0042,charlie,2026-05,tiered_core,2500.00,0.08,200.00,Tier 1.0: 2500.0 @ 0.08
D-0042,charlie,2026-05,tiered_core,1508.00,0.12,180.96,Tier 1.5: 1508.0 @ 0.12
D-0059,charlie,2026-05,tiered_core,992.00,0.12,119.04,Tier 1.5: 992.0000 @ 0.12
D-0059,charlie,2026-05,tiered_core,4688.00,0.15,703.20,Tier 100.0: 4688.0000 @ 0.15
D-0078,charlie,2026-06,tiered_core,2500.00,0.05,125.00,Tier 0.5: 2500.0 @ 0.05
D-0078,charlie,2026-06,tiered_core,269.00,0.08,21.52,Tier 1.0: 269.0 @ 0.08
D-0080,charlie,2026-06,tiered_core,2231.00,0.08,178.48,Tier 1.0: 2231.0000 @ 0.08
D-0080,charlie,2026-06,tiered_core,2500.00,0.12,300.00,Tier 1.5: 2500.0000 @ 0.12
D-0080,charlie,2026-06,tiered_core,66831.00,0.15,10024.65,Tier 100.0: 66831.0000 @ 0.15
D-0091,charlie,2026-06,tiered_core,2372.00,0.15,355.80,Tier 100.0: 2372 @ 0.15
*,dave,2026-05,draw,474.60,1,474.60,"draw_topup: guarantee 3000, earned 2525.400000000000000000000000"
D-0012,dave,2026-04,enterprise_spif,65217.00,0.02,1304.34,Flat rate 0.02 on 65217
D-0076,dave,2026-06,new_logo_accel,7289.00,0.120,874.68,Accelerator 1.5x on 7289.0 above 1.0
D-0099,dave,2026-06,new_logo_accel,42000.00,0.120,5040.00,Accelerator 1.5x on 42000 above 1.0
D-0100,dave,2026-04,new_logo_accel,24000.00,0.120,2880.00,Accelerator 1.5x on 24000.0 above 1.0
D-0012,dave,2026-04,tiered_core,65217.00,0.15,9782.55,Tier 100.0: 65217 @ 0.15
D-0021,dave,2026-04,tiered_core,6173.00,0.05,308.65,Tier 0.5: 6173 @ 0.05
D-0023,dave,2026-04,tiered_core,23933.00,0.15,3589.95,Tier 100.0: 23933 @ 0.15
D-0033,dave,2026-04,tiered_core,3658.00,0.15,548.70,Tier 100.0: 3658 @ 0.15
D-0056,dave,2026-05,tiered_core,946.00,0.05,47.30,Tier 0.5: 946.0000000000000000000000008 @ 0.05
D-0056,dave,2026-05,tiered_core,9000.00,0.08,720.00,Tier 1.0: 8999.999999999999999999999998 @ 0.08
D-0056,dave,2026-05,tiered_core,9000.00,0.12,1080.00,Tier 1.5: 9000.00000000000000000000000 @ 0.12
D-0056,dave,2026-05,tiered_core,1836.00,0.15,275.40,Tier 100.0: 1836.00000000000000000000000 @ 0.15
D-0064,dave,2026-05,tiered_core,1006.00,0.05,50.30,Tier 0.5: 1006 @ 0.05
D-0070,dave,2026-05,tiered_core,7048.00,0.05,352.40,Tier 0.5: 7048 @ 0.05
D-0075,dave,2026-06,tiered_core,6617.00,0.15,992.55,Tier 100.0: 6617 @ 0.15
D-0076,dave,2026-06,tiered_core,2251.00,0.08,180.08,Tier 1.0: 2251.000000000000000000000001 @ 0.08
D-0076,dave,2026-06,tiered_core,9000.00,0.12,1080.00,Tier 1.5: 9000.00000000000000000000000 @ 0.12
D-0076,dave,2026-06,tiered_core,14038.00,0.15,2105.70,Tier 100.0: 14038.00000000000000000000000 @ 0.15
D-0082,dave,2026-06,tiered_core,7981.00,0.05,399.05,Tier 0.5: 7981.000000000000000000000000 @ 0.05
D-0082,dave,2026-06,tiered_core,6749.00,0.08,539.92,Tier 1.0: 6749.000000000000000000000000 @ 0.08
D-0084,dave,2026-06,tiered_core,871.00,0.15,130.65,Tier 100.0: 871 @ 0.15
D-0085,dave,2026-06,tiered_core,4482.00,0.15,672.30,Tier 100.0: 4482 @ 0.15
D-0088,dave,2026-06,tiered_core,3945.00,0.15,591.75,Tier 100.0: 3945 @ 0.15
D-0090,dave,2026-06,tiered_core,1019.00,0.05,50.95,Tier 0.5: 1019 @ 0.05
D-0095,dave,2026-06,tiered_core,2652.00,0.15,397.80,Tier 100.0: 2652 @ 0.15
D-0099,dave,2026-06,tiered_core,42000.00,0.15,6300.00,Tier 100.0: 42000 @ 0.15
D-0100,dave,2026-04,tiered_core,2827.00,0.05,141.35,Tier 0.5: 2827.000000000000000000000001 @ 0.05
D-0100,dave,2026-04,tiered_core,9000.00,0.08,720.00,Tier 1.0: 8999.999999999999999999999998 @ 0.08
D-0100,dave,2026-04,tiered_core,9000.00,0.12,1080.00,Tier 1.5: 9000.00000000000000000000000 @ 0.12
D-0100,dave,2026-04,tiered_core,21173.00,0.15,3175.95,Tier 100.0: 21173.00000000000000000000000 @ 0.15
D-0008,eve,2026-04,enterprise_spif,25926.00,0.02,518.52,Flat rate 0.02 on 25926
D-0103,eve,2026-05,enterprise_spif,55000.00,0.02,1100.00,Flat rate 0.02 on 55000
D-0104,eve,2026-04,enterprise_spif,55000.00,0.02,1100.00,Flat rate 0.02 on 55000
D-0003,eve,2026-04,tiered_core,912.00,0.05,45.60,Tier 0.5: 912 @ 0.05
D-0008,eve,2026-04,tiered_core,25926.00,0.15,3888.90,Tier 100.0: 25926 @ 0.15
D-0036,eve,2026-05,tiered_core,7448.00,0.15,1117.20,Tier 100.0: 7448 @ 0.15
D-0037,eve,2026-05,tiered_core,2986.00,0.15,447.90,Tier 100.0: 2986 @ 0.15
D-0040,eve,2026-05,tiered_core,7676.00,0.15,1151.40,Tier 100.0: 7676 @ 0.15
D-0043,eve,2026-05,tiered_core,6578.00,0.15,986.70,Tier 100.0: 6578 @ 0.15
D-0046,eve,2026-05,tiered_core,3398.00,0.15,509.70,Tier 100.0: 3398 @ 0.15
D-0052,eve,2026-05,tiered_core,24861.00,0.15,3729.15,Tier 100.0: 24861 @ 0.15
D-0103,eve,2026-05,tiered_core,7000.00,0.05,350.00,Tier 0.5: 7000.0 @ 0.05
D-0103,eve,2026-05,tiered_core,7000.00,0.08,560.00,Tier 1.0: 7000.0 @ 0.08
D-0103,eve,2026-05,tiered_core,7000.00,0.12,840.00,Tier 1.5: 7000.0 @ 0.12
D-0103,eve,2026-05,tiered_core,34000.00,0.15,5100.00,Tier 100.0: 34000.0 @ 0.15
D-0104,eve,2026-04,tiered_core,6088.00,0.05,304.40,Tier 0.5: 6088.000000000000000000000001 @ 0.05
D-0104,eve,2026-04,tiered_core,7000.00,0.08,560.00,Tier 1.0: 6999.999999999999999999999999 @ 0.08
D-0104,eve,2026-04,tiered_core,7000.00,0.12,840.00,Tier 1.5: 7000.00000000000000000000000 @ 0.12
D-0104,eve,2026-04,tiered_core,34912.00,0.15,5236.80,Tier 100.0: 34912.00000000000000000000000 @ 0.15
*,hector,2026-05,draw,227.18,1,227.18,"draw_topup: guarantee 3000, earned 2772.820000000000000000000000"
D-0017,hector,2026-04,enterprise_spif,54823.00,0.02,1096.46,Flat rate 0.02 on 54823
D-0024,hector,2026-04,enterprise_spif,35021.00,0.02,700.42,Flat rate 0.02 on 35021
D-0047,hector,2026-05,enterprise_spif,16226.00,0.02,324.52,Flat rate 0.02 on 16226
D-0081,hector,2026-06,enterprise_spif,82992.00,0.02,1659.84,Flat rate 0.02 on 82992
D-0017,hector,2026-04,tiered_core,2042.00,0.05,102.10,Tier 0.5: 2042.000000000000000000000000 @ 0.05
D-0017,hector,2026-04,tiered_core,6000.00,0.08,480.00,Tier 1.0: 6000.000000000000000000000000 @ 0.08
D-0017,hector,2026-04,tiered_core,6000.00,0.12,720.00,Tier 1.5: 6000.00000000000000000000000 @ 0.12
D-0017,hector,2026-04,tiered_core,40781.00,0.15,6117.15,Tier 100.0: 40781.00000000000000000000000 @ 0.15
D-0024,hector,2026-04,tiered_core,35021.00,0.15,5253.15,Tier 100.0: 35021 @ 0.15
D-0028,hector,2026-04,tiered_core,3958.00,0.05,197.90,Tier 0.5: 3958 @ 0.05
D-0041,hector,2026-05,tiered_core,4998.00,0.05,249.90,Tier 0.5: 4998.0000 @ 0.05
D-0041,hector,2026-05,tiered_core,2096.00,0.08,167.68,Tier 1.0: 2096.0000 @ 0.08
D-0047,hector,2026-05,tiered_core,3904.00,0.08,312.32,Tier 1.0: 3904.000000000000000000000000 @ 0.08
D-0047,hector,2026-05,tiered_core,6000.00,0.12,720.00,Tier 1.5: 6000.00000000000000000000000 @ 0.12
D-0047,hector,2026-05,tiered_core,6322.00,0.15,948.30,Tier 100.0: 6322.00000000000000000000000 @ 0.15
D-0069,hector,2026-05,tiered_core,1002.00,0.05,50.10,Tier 0.5: 1002 @ 0.05
D-0081,hector,2026-06,tiered_core,6000.00,0.05,300.00,Tier 0.5: 6000.0 @ 0.05
D-0081,hector,2026-06,tiered_core,6000.00,0.08,480.00,Tier 1.0: 6000.0 @ 0.08
D-0081,hector,2026-06,tiered_core,6000.00,0.12,720.00,Tier 1.5: 6000.0 @ 0.12
D-0081,hector,2026-06,tiered_core,64992.00,0.15,9748.80,Tier 100.0: 64992.0 @ 0.15
*,isabel,2026-05,draw,407.25,1,407.25,"draw_topup: guarantee 3000, earned 2592.75"
D-0089,isabel,2026-06,enterprise_spif,6220.00,0.02,124.40,Flat rate 0.02 on 6220
D-0092,isabel,2026-06,enterprise_spif,37018.00,0.02,740.36,Flat rate 0.02 on 37018
D-0105,isabel,2026-05,enterprise_spif,35000.00,0.02,700.00,Flat rate 0.02 on 35000
D-0106,isabel,2026-06,enterprise_spif,35000.00,0.02,700.00,Flat rate 0.02 on 35000
D-0044,isabel,2026-05,tiered_core,2855.00,0.05,142.75,Tier 0.5: 2855 @ 0.05
D-0071,isabel,2026-06,tiered_core,6949.00,0.08,555.92,Tier 1.0: 6949 @ 0.08
D-0074,isabel,2026-06,tiered_core,42388.00,0.08,3391.04,Tier 1.0: 42388 @ 0.08
D-0083,isabel,2026-06,tiered_core,2216.00,0.08,177.28,Tier 1.0: 2216 @ 0.08
D-0086,isabel,2026-06,tiered_core,10209.00,0.08,816.72,Tier 1.0: 10209.00000000000000000000000 @ 0.08
D-0086,isabel,2026-06,tiered_core,13236.00,0.12,1588.32,Tier 1.5: 13236.00000000000000000000000 @ 0.12
D-0089,isabel,2026-06,tiered_core,6220.00,0.08,497.60,Tier 1.0: 6220 @ 0.08
D-0092,isabel,2026-06,tiered_core,35000.00,0.05,1750.00,Tier 0.5: 35000.00 @ 0.05
D-0092,isabel,2026-06,tiered_core,2018.00,0.08,161.44,Tier 1.0: 2018.00 @ 0.08
D-0105,isabel,2026-05,tiered_core,35000.00,0.05,1750.00,Tier 0.5: 35000 @ 0.05
D-0106,isabel,2026-06,tiered_core,35000.00,0.05,1750.00,Tier 0.5: 35000 @ 0.05
